DayOfYear,Hour,foF2,Longitude,Latitude,F10.7,Station,foF2_C,foF2_U
47,9,4.400,315.000,-22.700,69.000,CP,3.627,3.812
47,10,5.163,315.000,-22.700,69.000,CP,4.596,4.742
47,11,4.825,315.000,-22.700,69.000,CP,5.379,5.289
47,12,5.275,315.000,-22.700,69.000,CP,5.421,5.641
47,13,5.063,315.000,-22.700,69.000,CP,5.314,6.262
47,14,5.725,315.000,-22.700,69.000,CP,5.856,7.219
47,15,7.025,315.000,-22.700,69.000,CP,6.807,8.165
47,16,8.350,315.000,-22.700,69.000,CP,7.364,8.841
47,17,9.250,315.000,-22.700,69.000,CP,7.427,9.242
47,18,9.600,315.000,-22.700,69.000,CP,7.526,9.360
47,19,9.750,315.000,-22.700,69.000,CP,7.750,9.114
47,20,7.675,315.000,-22.700,69.000,CP,7.635,8.551
47,21,7.875,315.000,-22.700,69.000,CP,7.024,7.872
47,22,8.700,315.000,-22.700,69.000,CP,6.313,7.194
47,23,8.150,315.000,-22.700,69.000,CP,5.811,6.470
48,0,3.700,315.000,-22.700,68.400,CP,5.361,5.610
48,1,2.550,315.000,-22.700,68.400,CP,4.790,4.837
48,2,2.350,315.000,-22.700,68.400,CP,4.077,4.217
48,3,2.500,315.000,-22.700,68.400,CP,3.393,3.812
48,4,2.650,315.000,-22.700,68.400,CP,3.024,3.558
48,5,2.850,315.000,-22.700,68.400,CP,3.123,3.274
48,6,3.050,315.000,-22.700,68.400,CP,3.402,2.871
48,7,2.400,315.000,-22.700,68.400,CP,3.400,2.609
48,8,2.100,315.000,-22.700,68.400,CP,3.246,2.909
48,9,4.000,315.000,-22.700,68.400,CP,3.603,3.789
48,10,4.750,315.000,-22.700,68.400,CP,4.586,4.727
48,11,4.925,315.000,-22.700,68.400,CP,5.386,5.283
48,12,5.075,315.000,-22.700,68.400,CP,5.444,5.640
48,13,5.875,315.000,-22.700,68.400,CP,5.347,6.263
48,14,6.425,315.000,-22.700,68.400,CP,5.892,7.225
48,15,7.400,315.000,-22.700,68.400,CP,6.849,8.182
48,16,8.000,315.000,-22.700,68.400,CP,7.423,8.868
48,17,8.700,315.000,-22.700,68.400,CP,7.503,9.270
48,18,9.854,315.000,-22.700,68.400,CP,7.598,9.382
48,19,11.025,315.000,-22.700,68.400,CP,7.804,9.132
48,20,9.225,315.000,-22.700,68.400,CP,7.673,8.566
48,21,7.575,315.000,-22.700,68.400,CP,7.054,7.871
48,22,7.000,315.000,-22.700,68.400,CP,6.331,7.163
48,23,7.250,315.000,-22.700,68.400,CP,5.805,6.415
50,0,4.800,315.000,-22.700,68.600,CP,5.301,5.483
50,1,4.900,315.000,-22.700,68.600,CP,4.701,4.711
50,2,5.100,315.000,-22.700,68.600,CP,3.988,4.093
50,3,4.800,315.000,-22.700,68.600,CP,3.329,3.698
50,4,3.900,315.000,-22.700,68.600,CP,2.993,3.475
50,5,3.700,315.000,-22.700,68.600,CP,3.111,3.228
50,6,3.200,315.000,-22.700,68.600,CP,3.377,2.840
50,7,2.950,315.000,-22.700,68.600,CP,3.348,2.570
50,8,2.900,315.000,-22.700,68.600,CP,3.183,2.859
50,9,4.300,315.000,-22.700,68.600,CP,3.555,3.743
50,10,5.575,315.000,-22.700,68.600,CP,4.566,4.697
50,11,4.725,315.000,-22.700,68.600,CP,5.400,5.271
50,12,5.425,315.000,-22.700,68.600,CP,5.492,5.638
50,13,6.025,315.000,-22.700,68.600,CP,5.414,6.264
50,14,6.800,315.000,-22.700,68.600,CP,5.963,7.236
50,15,7.775,315.000,-22.700,68.600,CP,6.932,8.216
50,16,8.775,315.000,-22.700,68.600,CP,7.541,8.923
50,17,9.225,315.000,-22.700,68.600,CP,7.654,9.325
50,18,9.525,315.000,-22.700,68.600,CP,7.744,9.426
50,19,10.100,315.000,-22.700,68.600,CP,7.911,9.169
50,20,8.025,315.000,-22.700,68.600,CP,7.748,8.595
50,21,6.750,315.000,-22.700,68.600,CP,7.113,7.868
50,22,6.900,315.000,-22.700,68.600,CP,6.367,7.103
50,23,6.450,315.000,-22.700,68.600,CP,5.795,6.305
51,0,5.100,315.000,-22.700,69.400,CP,5.271,5.419
51,1,4.750,315.000,-22.700,69.400,CP,4.657,4.648
51,2,4.900,315.000,-22.700,69.400,CP,3.943,4.031
51,3,4.550,315.000,-22.700,69.400,CP,3.296,3.641
51,4,3.500,315.000,-22.700,69.400,CP,2.978,3.434
51,5,3.100,315.000,-22.700,69.400,CP,3.105,3.205
51,6,2.550,315.000,-22.700,69.400,CP,3.364,2.825
51,7,2.500,315.000,-22.700,69.400,CP,3.322,2.550
51,8,2.450,315.000,-22.700,69.400,CP,3.152,2.834
51,9,3.900,315.000,-22.700,69.400,CP,3.531,3.720
51,10,4.975,315.000,-22.700,69.400,CP,4.557,4.682
51,11,4.751,315.000,-22.700,69.400,CP,5.407,5.265
51,12,5.525,315.000,-22.700,69.400,CP,5.515,5.637
51,13,6.425,315.000,-22.700,69.400,CP,5.447,6.265
51,14,5.850,315.000,-22.700,69.400,CP,5.998,7.241
51,15,7.100,315.000,-22.700,69.400,CP,6.973,8.233
51,16,8.225,315.000,-22.700,69.400,CP,7.600,8.950
51,17,9.250,315.000,-22.700,69.400,CP,7.730,9.353
51,18,9.675,315.000,-22.700,69.400,CP,7.816,9.448
51,19,10.025,315.000,-22.700,69.400,CP,7.965,9.187
51,20,9.225,315.000,-22.700,69.400,CP,7.786,8.610
51,21,8.725,315.000,-22.700,69.400,CP,7.143,7.867
51,22,6.250,315.000,-22.700,69.400,CP,6.384,7.073
51,23,4.100,315.000,-22.700,69.400,CP,5.790,6.250
53,0,6.600,315.000,-22.700,69.700,CP,5.211,5.292
53,1,4.500,315.000,-22.700,69.700,CP,4.568,4.523
53,2,4.150,315.000,-22.700,69.700,CP,3.854,3.907
53,3,3.850,315.000,-22.700,69.700,CP,3.231,3.527
53,4,3.550,315.000,-22.700,69.700,CP,2.948,3.351
53,5,3.250,315.000,-22.700,69.700,CP,3.094,3.158
53,6,3.000,315.000,-22.700,69.700,CP,3.340,2.794
53,7,3.000,315.000,-22.700,69.700,CP,3.270,2.511
53,8,2.950,315.000,-22.700,69.700,CP,3.089,2.785
53,9,4.150,315.000,-22.700,69.700,CP,3.483,3.674
53,10,5.313,315.000,-22.700,69.700,CP,4.537,4.653
53,11,5.975,315.000,-22.700,69.700,CP,5.421,5.253
53,12,5.000,315.000,-22.700,69.700,CP,5.562,5.635
53,13,4.250,315.000,-22.700,69.700,CP,5.514,6.266
53,14,5.425,315.000,-22.700,69.700,CP,6.069,7.253
53,15,7.125,315.000,-22.700,69.700,CP,7.056,8.266
53,16,8.600,315.000,-22.700,69.700,CP,7.719,9.005
53,17,9.800,315.000,-22.700,69.700,CP,7.881,9.409
53,18,10.025,315.000,-22.700,69.700,CP,7.962,9.491
53,19,9.525,315.000,-22.700,69.700,CP,8.072,9.224
53,20,8.825,315.000,-22.700,69.700,CP,7.861,8.640
53,21,7.775,315.000,-22.700,69.700,CP,7.203,7.865
53,22,9.050,315.000,-22.700,69.700,CP,6.420,7.012
53,23,8.400,315.000,-22.700,69.700,CP,5.779,6.140
54,0,4.250,315.000,-22.700,69.200,CP,5.181,5.229
54,1,3.000,315.000,-22.700,69.200,CP,4.523,4.460
54,2,2.500,315.000,-22.700,69.200,CP,3.809,3.845
54,3,2.450,315.000,-22.700,69.200,CP,3.199,3.470
54,4,2.450,315.000,-22.700,69.200,CP,2.933,3.309
54,5,2.550,315.000,-22.700,69.200,CP,3.088,3.135
54,6,2.700,315.000,-22.700,69.200,CP,3.327,2.779
54,7,2.450,315.000,-22.700,69.200,CP,3.244,2.492
54,8,2.450,315.000,-22.700,69.200,CP,3.058,2.760
54,9,4.050,315.000,-22.700,69.200,CP,3.459,3.651
54,10,4.975,315.000,-22.700,69.200,CP,4.527,4.638
54,11,5.075,315.000,-22.700,69.200,CP,5.428,5.247
54,12,5.363,315.000,-22.700,69.200,CP,5.586,5.634
54,13,5.125,315.000,-22.700,69.200,CP,5.547,6.267
54,14,4.950,315.000,-22.700,69.200,CP,6.104,7.258
54,15,5.625,315.000,-22.700,69.200,CP,7.097,8.283
54,16,7.800,315.000,-22.700,69.200,CP,7.778,9.032
54,17,8.675,315.000,-22.700,69.200,CP,7.957,9.437
54,18,9.075,315.000,-22.700,69.200,CP,8.034,9.513
54,19,9.225,315.000,-22.700,69.200,CP,8.126,9.242
54,20,7.913,315.000,-22.700,69.200,CP,7.898,8.655
54,21,6.775,315.000,-22.700,69.200,CP,7.232,7.863
54,22,6.850,315.000,-22.700,69.200,CP,6.438,6.982
54,23,6.150,315.000,-22.700,69.200,CP,5.774,6.085
55,0,3.900,315.000,-22.700,69.000,CP,5.151,5.166
55,1,3.100,315.000,-22.700,69.000,CP,4.478,4.397
55,2,3.000,315.000,-22.700,69.000,CP,3.764,3.783
55,3,2.900,315.000,-22.700,69.000,CP,3.166,3.413
55,4,2.700,315.000,-22.700,69.000,CP,2.918,3.268
55,5,2.700,315.000,-22.700,69.000,CP,3.082,3.112
55,6,3.950,315.000,-22.700,69.000,CP,3.315,2.763
55,7,2.000,315.000,-22.700,69.000,CP,3.218,2.473
55,8,2.150,315.000,-22.700,69.000,CP,3.026,2.735
55,9,3.700,315.000,-22.700,69.000,CP,3.435,3.628
55,10,4.400,315.000,-22.700,69.000,CP,4.517,4.623
55,11,4.825,315.000,-22.700,69.000,CP,5.435,5.241
55,12,4.325,315.000,-22.700,69.000,CP,5.609,5.633
55,13,4.203,315.000,-22.700,69.000,CP,5.581,6.268
55,14,4.300,315.000,-22.700,69.000,CP,6.140,7.264
55,15,5.725,315.000,-22.700,69.000,CP,7.139,8.300
55,16,7.925,315.000,-22.700,69.000,CP,7.837,9.060
55,17,10.075,315.000,-22.700,69.000,CP,8.033,9.465
55,18,10.450,315.000,-22.700,69.000,CP,8.107,9.535
55,19,8.425,315.000,-22.700,69.000,CP,8.179,9.261
55,20,7.725,315.000,-22.700,69.000,CP,7.936,8.670
55,21,7.625,315.000,-22.700,69.000,CP,7.262,7.862
55,22,8.400,315.000,-22.700,69.000,CP,6.456,6.951
55,23,6.850,315.000,-22.700,69.000,CP,5.768,6.030
56,0,4.250,315.000,-22.700,68.900,CP,5.121,5.102
56,1,2.800,315.000,-22.700,68.900,CP,4.434,4.335
56,2,2.450,315.000,-22.700,68.900,CP,3.720,3.721
56,3,2.500,315.000,-22.700,68.900,CP,3.134,3.356
56,4,2.450,315.000,-22.700,68.900,CP,2.903,3.226
56,5,2.300,315.000,-22.700,68.900,CP,3.076,3.089
56,6,2.400,315.000,-22.700,68.900,CP,3.302,2.748
56,7,2.050,315.000,-22.700,68.900,CP,3.192,2.453
56,8,2.350,315.000,-22.700,68.900,CP,2.995,2.711
