DayOfYear,Hour,foF2,Longitude,Latitude,F10.7,Station,foF2_C,foF2_U
70,12,7.125,315.000,-22.700,69.500,CP,5.962,5.617
70,13,7.025,315.000,-22.700,69.500,CP,6.080,6.278
71,23,2.950,315.000,-22.700,69.800,CP,5.683,5.150
71,0,2.900,315.000,-22.700,69.800,CP,4.668,4.149
71,1,2.650,315.000,-22.700,69.800,CP,3.765,3.392
71,11,6.575,315.000,-22.700,69.800,CP,5.547,5.145
71,12,7.225,315.000,-22.700,69.800,CP,5.986,5.615
71,13,8.900,315.000,-22.700,69.800,CP,6.113,6.278
72,23,2.950,315.000,-22.700,70.000,CP,5.678,5.094
72,0,2.700,315.000,-22.700,70.000,CP,4.638,4.085
72,1,2.550,315.000,-22.700,70.000,CP,3.720,3.330
72,11,7.275,315.000,-22.700,70.000,CP,5.554,5.139
72,12,8.275,315.000,-22.700,70.000,CP,6.009,5.614
72,13,8.975,315.000,-22.700,70.000,CP,6.147,6.279
73,23,3.750,315.000,-22.700,69.300,CP,5.673,5.039
73,0,3.750,315.000,-22.700,69.300,CP,4.608,4.022
73,1,3.650,315.000,-22.700,69.300,CP,3.675,3.267
73,11,6.075,315.000,-22.700,69.300,CP,5.560,5.133
73,12,8.325,315.000,-22.700,69.300,CP,6.033,5.613
73,13,9.725,315.000,-22.700,69.300,CP,6.180,6.280
74,23,3.250,315.000,-22.700,68.900,CP,5.667,4.984
74,0,3.250,315.000,-22.700,68.900,CP,4.578,3.958
74,1,3.500,315.000,-22.700,68.900,CP,3.631,3.204
74,11,6.475,315.000,-22.700,68.900,CP,5.567,5.127
74,12,6.675,315.000,-22.700,68.900,CP,6.056,5.612
74,13,8.175,315.000,-22.700,68.900,CP,6.213,6.280
75,23,2.750,315.000,-22.700,68.800,CP,5.541,4.918
75,0,2.700,315.000,-22.700,68.800,CP,4.488,3.900
75,1,2.650,315.000,-22.700,68.800,CP,3.580,3.157
75,11,6.025,315.000,-22.700,68.800,CP,5.550,5.136
